Age,Gender,Race,Education Level,Industry,Weekly Hours Worked,Salary (ZAR),Rent (ZAR),Transport (ZAR),Groceries (ZAR),Debt Repayment (ZAR),Savings (ZAR),Entertainment (ZAR),Total Expenses (ZAR),Debt-to-Income Ratio (%),Debt Risk Level
23,Female,Black African,High School,Retail,50,6408,1925.36,953.72,1189.72,980.42,948.73,1169.8,6219.02,15.3,Low Risk
31,Male,Black African,Diploma,Education,20,16376,5237.66,1889.78,3150.23,8531.69,1908.42,2742.28,21551.64,52.1,Critical Risk
30,Female,Black African,Bachelor's,Construction,40,6026,2384.51,791.22,1157.06,716.78,511.96,911.42,5960.99,11.89,Very Low Risk
31,Female,Black African,High School,Construction,40,4625,1552.74,668.44,919.21,1116.86,955.11,850.66,5107.91,24.15,Moderate Risk
26,Male,Black African,High School,Mining,45,11102,4158.36,1475.84,2053.71,2961.67,1702.51,1856.5,12506.08,26.68,Moderate Risk
23,Male,Black African,Master's,Retail,30,5577,1936.5,835.59,993.15,507.38,1035.62,906.5,5179.13,9.1,Very Low Risk
25,Male,Black African,High School,Education,20,4886,1953.97,573.93,877.26,1352.82,532.69,881.07,5639.03,27.69,Moderate Risk
33,Female,Black African,High School,Finance,20,6517,2542.59,690.62,1199.73,3138.32,1487.65,1264.95,8836.21,48.16,Critical Risk
33,Female,Black African,High School,Finance,50,23989,7884.29,2663.15,4147.65,11504.64,5892.35,4174.95,30374.67,47.96,Critical Risk
28,Female,Black African,Bachelor's,Mining,50,29829,11342.9,3257.53,5492.07,4627.08,5434.81,5763.21,30482.8,15.51,Low Risk
33,Male,Black African,High School,Education,30,20511,7286.04,2977.79,3685.32,9579.67,4529.95,4018.97,27547.79,46.71,Critical Risk
34,Female,Indian/Asian,Diploma,Education,50,9750,3222.92,1202.1,1540.78,1961.12,944.3,1921.26,9848.19,20.11,Moderate Risk
29,Male,White,Bachelor's,Mining,45,40846,14358.62,5137.94,6356.24,18297.66,9984.73,6924.59,51075.06,44.8,Critical Risk
24,Male,Black African,High School,Retail,40,3000,1000.02,325.95,482.87,1313.43,286.35,533.44,3655.7,43.78,Critical Risk
35,Female,Indian/Asian,Bachelor's,IT,30,20135,6404.48,2229.22,3801.51,10307.29,1927.0,3041.95,25784.45,51.19,Critical Risk
22,Male,Black African,Diploma,Retail,30,3191,1106.52,446.68,519.7,1893.39,747.0,599.25,4565.54,59.34,Critical Risk
25,Female,Black African,Diploma,Construction,30,16071,5504.16,2155.83,3101.17,1655.38,1720.31,3126.48,15543.02,10.3,Very Low Risk
23,Male,White,High School,Finance,30,30363,10064.65,3536.18,4990.14,5784.63,3727.91,4925.11,29300.71,19.05,Low Risk
29,Female,Black African,Diploma,Retail,45,6700,2424.67,936.49,1212.28,2620.72,1478.42,1336.24,8530.4,39.12,Critical Risk
25,Male,Black African,High School,Healthcare,40,6913,2162.61,709.86,1336.5,2416.35,1531.25,1065.7,7691.02,34.95,High Risk
23,Female,Black African,High School,Retail,40,4179,1660.44,432.67,803.94,2125.39,278.72,687.11,5709.53,50.86,Critical Risk
35,Male,Black African,Master's,Construction,45,16445,5282.29,1717.28,3153.37,1740.04,1874.17,3048.36,14941.33,10.58,Very Low Risk
27,Male,Black African,High School,Retail,40,4275,1544.41,577.87,816.89,1361.49,419.97,768.28,5068.94,31.85,High Risk
27,Female,Black African,Bachelor's,Education,30,15023,5110.52,1949.89,2769.85,3637.26,3449.85,2987.13,16454.64,24.21,Moderate Risk
31,Male,Black African,High School,Construction,40,11111,3344.19,1589.86,2066.47,1002.39,1213.83,2099.7,10102.61,9.02,Very Low Risk
25,Female,Black African,High School,Construction,30,11098,3565.29,1647.29,2194.42,5106.74,1082.17,1819.14,14332.87,46.01,Critical Risk
27,Female,Black African,Bachelor's,Healthcare,45,32030,11374.41,3749.14,6055.64,9878.97,3485.5,5719.84,36778.0,30.84,High Risk
34,Male,White,High School,Finance,45,6901,2311.22,907.06,1084.43,603.68,1553.86,1374.95,6281.33,8.75,Very Low Risk
23,Male,Black African,Bachelor's,Mining,50,18610,7139.45,2670.94,3008.73,1012.12,1639.75,3431.61,17262.86,5.44,Very Low Risk
31,Female,Black African,Diploma,Retail,45,6150,2258.87,686.71,1025.78,387.52,534.48,1017.16,5376.04,6.3,Very Low Risk
33,Female,Black African,High School,IT,40,40869,12900.86,4282.27,6310.66,10895.14,8891.75,6579.71,40968.64,26.66,Moderate Risk
23,Female,Coloured,Diploma,Education,40,15167,5968.56,2262.03,2944.45,8317.85,1279.9,2683.93,22176.82,54.84,Critical Risk
31,Female,Black African,High School,Education,40,7437,2410.63,1078.17,1271.11,1406.69,1119.62,1274.13,7440.73,18.91,Low Risk
35,Female,Black African,High School,Mining,30,25903,7928.21,3380.37,4441.24,3192.2,3799.53,4647.59,23589.61,12.32,Very Low Risk
25,Male,Black African,Bachelor's,IT,40,12184,4247.45,1224.67,2076.22,4501.11,635.91,1924.88,13974.33,36.94,High Risk
35,Female,Coloured,High School,Retail,45,3148,1082.23,350.4,546.74,976.71,540.41,544.16,3500.24,31.03,High Risk
29,Female,Black African,High School,IT,40,21322,7443.62,2873.85,3409.11,9373.14,3930.83,3208.84,26308.56,43.96,Critical Risk
35,Male,Black African,Bachelor's,Education,50,7941,2439.69,937.04,1481.05,2018.54,718.13,1268.97,8145.29,25.42,Moderate Risk
28,Male,Black African,Bachelor's,Mining,50,32440,10694.82,4166.72,6294.13,5870.76,5368.76,5525.19,32551.61,18.1,Low Risk
33,Male,Black African,Diploma,IT,40,49279,19326.27,5064.92,9169.58,22773.08,3883.81,9844.3,66178.15,46.21,Critical Risk
30,Male,Black African,Diploma,IT,45,26862,10196.15,3423.1,4396.17,8636.55,5322.88,4158.31,30810.28,32.15,High Risk
35,Female,Black African,Diploma,Mining,40,10572,3327.8,1133.1,1600.85,5354.85,1661.28,1586.19,13002.79,50.65,Critical Risk
29,Male,Black African,Diploma,Construction,20,11482,3775.46,1208.76,1802.94,800.18,1517.79,1896.35,9483.7,6.97,Very Low Risk
26,Male,Black African,Diploma,Mining,45,36135,13540.13,4497.48,6640.74,3895.73,8755.65,6161.92,34736.01,10.78,Very Low Risk
34,Male,Black African,PhD,Mining,40,60166,23211.69,7560.35,11315.67,15753.66,14477.91,10930.5,68771.87,26.18,Moderate Risk
23,Female,Coloured,High School,Education,50,15347,4819.42,2225.95,2677.81,3541.12,884.18,2872.24,16136.54,23.07,Moderate Risk
26,Female,Coloured,Diploma,Mining,20,32891,11829.61,4914.89,4977.3,2509.74,3608.22,5549.78,29781.31,7.63,Very Low Risk
29,Male,Black African,Bachelor's,Healthcare,45,18299,6293.07,1929.32,3188.71,3643.04,1794.07,3560.98,18615.11,19.91,Low Risk
31,Male,Black African,Diploma,Retail,30,8039,2802.22,930.81,1562.41,2527.05,1934.44,1288.12,9110.61,31.43,High Risk
30,Female,Black African,Bachelor's,Education,40,30560,11591.21,4180.37,4770.24,13427.19,2652.44,5739.84,39708.86,43.94,Critical Risk
33,Female,Black African,High School,Construction,40,9429,3388.03,1252.9,1842.56,1737.55,574.65,1701.07,9922.11,18.43,Low Risk
33,Male,Black African,High School,Mining,20,31562,11227.02,3283.84,6234.43,15581.57,2852.77,5824.41,42151.27,49.37,Critical Risk
33,Male,Black African,Bachelor's,Finance,45,35872,12125.37,3692.63,6570.83,18597.25,7190.95,5406.38,46392.46,51.84,Critical Risk
34,Male,Black African,High School,IT,20,19701,6546.46,2378.66,3016.97,3785.7,3010.42,3869.24,19597.03,19.22,Low Risk
30,Male,Black African,Bachelor's,Mining,50,51733,19293.35,6458.31,8627.89,14063.97,12594.71,8098.8,56542.31,27.19,Moderate Risk
34,Female,Indian/Asian,High School,Mining,40,40345,15794.82,5188.95,7791.56,23442.15,8567.22,6271.97,58489.44,58.1,Critical Risk
34,Female,Black African,Bachelor's,Retail,30,8858,2679.99,1168.62,1647.35,3403.84,792.17,1587.81,10487.61,38.43,High Risk
22,Female,Black African,Diploma,Mining,40,37802,13140.46,4691.03,6598.73,10716.8,4745.37,6724.18,41871.21,28.35,Moderate Risk
30,Female,Black African,High School,Education,50,19138,6826.43,2600.89,3025.25,7966.31,4076.47,3116.21,23535.09,41.63,Critical Risk
28,Male,Coloured,Diploma,Healthcare,45,28244,9274.44,2989.83,4919.95,7546.2,5569.45,4624.5,29354.92,26.72,Moderate Risk
30,Female,Black African,Diploma,Finance,30,22896,7070.61,3138.88,3540.92,13631.97,2657.63,4160.05,31542.44,59.54,Critical Risk
29,Female,Black African,High School,Finance,40,22091,6999.33,2893.1,3993.11,1481.56,3710.44,3475.3,18842.4,6.71,Very Low Risk
22,Male,Black African,Diploma,Construction,30,7672,2844.12,770.76,1449.65,964.14,1280.51,1225.72,7254.38,12.57,Very Low Risk
33,Male,Black African,Diploma,Mining,45,31150,10025.95,3849.52,5650.64,14802.8,7031.24,5090.41,39419.32,47.52,Critical Risk
29,Female,Black African,High School,Retail,30,5597,1901.62,658.08,843.44,2784.15,303.41,1119.03,7306.31,49.74,Critical Risk
29,Male,Black African,Bachelor's,Education,45,14359,4330.4,1617.9,2634.45,4941.27,1461.53,2706.32,16230.35,34.41,High Risk
32,Male,Black African,High School,Education,30,5754,1824.12,591.26,1002.97,1220.19,1106.14,863.77,5502.32,21.21,Low Risk
24,Female,Black African,High School,Mining,45,9335,3562.57,1389.67,1600.63,4108.79,1675.69,1437.54,12099.2,44.01,Critical Risk
22,Female,Black African,Diploma,IT,40,25207,8889.22,2873.3,4137.55,3760.85,2981.81,3961.57,23622.49,14.92,Very Low Risk
29,Male,Black African,Diploma,Education,45,23704,7343.14,2913.47,3693.49,4296.47,5258.01,4222.5,22469.08,18.13,Low Risk
24,Female,Black African,Master's,Education,40,16593,5115.4,1737.47,2953.69,8043.01,3268.86,2875.62,20725.19,48.47,Critical Risk
24,Male,Black African,High School,Education,30,19087,7483.68,2669.21,3658.26,8254.03,3241.0,3353.15,25418.32,43.24,Critical Risk
22,Female,Coloured,High School,Finance,40,13788,4648.76,1395.15,2747.85,4804.58,1366.27,2287.12,15883.46,34.85,High Risk
32,Female,Black African,High School,Education,40,11822,4453.0,1530.94,2147.84,1708.24,1295.35,1863.88,11703.9,14.45,Very Low Risk
26,Female,Indian/Asian,Bachelor's,IT,20,16270,5591.48,1852.02,2694.04,8351.59,2915.96,2700.76,21189.89,51.33,Critical Risk
31,Male,Black African,Diploma,Healthcare,45,26323,8223.05,3086.85,4493.14,2354.87,6396.34,5091.45,23249.37,8.95,Very Low Risk
28,Female,White,Bachelor's,Finance,45,30349,10698.84,3831.47,5650.46,12498.63,6697.54,5316.9,37996.3,41.18,Critical Risk
31,Female,Indian/Asian,High School,Finance,20,13082,4054.56,1614.89,2273.95,6042.87,1200.92,2302.74,16289.01,46.19,Critical Risk
30,Male,Black African,Bachelor's,Healthcare,50,7449,2877.62,897.92,1311.9,1561.53,1486.6,1365.69,8014.66,20.96,Moderate Risk
33,Male,Indian/Asian,Diploma,IT,30,14035,4279.63,1843.1,2203.14,6662.5,3331.27,2143.16,17131.52,47.47,Critical Risk
28,Male,Black African,Master's,Mining,45,31751,11748.02,4045.7,5614.98,2050.09,2212.35,5139.04,28597.84,6.46,Very Low Risk
30,Male,Black African,High School,Construction,20,11361,4518.81,1324.18,2256.12,6404.64,2112.91,1766.75,16270.51,56.37,Critical Risk
29,Female,Black African,Diploma,Retail,40,5048,1961.54,552.39,842.07,1308.54,338.0,829.4,5493.95,25.92,Moderate Risk
33,Male,Black African,Bachelor's,IT,30,42159,16468.81,4544.81,6677.94,21554.11,2147.57,6364.53,55610.2,51.13,Critical Risk
23,Male,Black African,Diploma,Healthcare,40,32724,10653.55,3332.44,5684.91,7373.81,8020.06,6446.01,33490.72,22.53,Moderate Risk
22,Female,Black African,High School,Construction,30,6615,2293.81,808.7,1163.91,2902.63,607.76,1313.36,8482.41,43.88,Critical Risk
28,Male,Black African,Master's,Education,40,28168,9102.4,3062.92,5630.25,10208.33,5912.15,5320.26,33324.15,36.24,High Risk
28,Female,Black African,High School,Education,20,13541,4994.6,1951.38,2176.04,4018.3,2188.59,2478.61,15618.92,29.68,Moderate Risk
35,Male,Black African,High School,Healthcare,50,23876,8727.87,2891.98,4229.77,14215.89,4201.5,4032.47,34097.99,59.54,Critical Risk
29,Female,Black African,Diploma,Education,45,24405,8044.86,3205.01,4116.27,11926.9,1959.73,4078.39,31371.43,48.87,Critical Risk
26,Female,Black African,Diploma,Healthcare,20,27273,9299.09,3152.45,5109.1,3305.32,5492.85,5259.45,26125.41,12.12,Very Low Risk
24,Female,Indian/Asian,Bachelor's,Construction,50,13386,4525.01,1512.17,2590.63,7855.12,1575.25,2096.47,18579.39,58.68,Critical Risk
33,Male,Black African,High School,Finance,50,20155,7452.43,2838.07,3789.8,6209.07,3439.35,3786.93,24076.3,30.81,High Risk
29,Female,Black African,Diploma,Mining,40,32958,9949.24,3904.42,5256.72,13193.3,4276.33,6446.57,38750.25,40.03,High Risk
27,Male,Coloured,Diploma,Finance,40,10918,4285.63,1143.85,1992.95,1255.98,937.45,1703.95,10382.37,11.5,Very Low Risk
32,Male,Black African,High School,Finance,45,21217,6664.59,2464.87,3428.82,12583.37,1636.52,3282.48,28424.13,59.31,Critical Risk
24,Male,Black African,Master's,Finance,45,38113,12634.94,4038.1,7591.65,11891.12,4900.21,7454.11,43609.92,31.2,High Risk
22,Female,Black African,Bachelor's,Healthcare,40,40988,12489.01,5048.28,7295.29,12429.53,2110.05,7382.0,44644.11,30.32,High Risk
24,Male,Black African,Diploma,IT,45,38687,13305.11,4434.75,6635.89,8306.69,9392.44,7266.27,39948.72,21.47,Moderate Risk
26,Female,White,High School,Construction,45,13860,5180.13,1954.48,2526.91,3641.11,1487.53,2509.2,15811.82,26.27,Moderate Risk
35,Male,Black African,Master's,Retail,45,6628,2508.29,684.45,1192.88,3119.81,1226.87,1275.91,8781.34,47.07,Critical Risk
24,Male,Black African,High School,Retail,50,6995,2351.58,1043.82,1370.04,708.4,1150.32,1392.79,6866.64,10.13,Very Low Risk
22,Female,Black African,High School,Mining,45,31801,10754.96,4445.02,5585.22,6459.09,6238.22,5626.18,32870.47,20.31,Moderate Risk
26,Male,Black African,High School,Mining,40,34949,11671.84,4659.49,6563.65,8338.16,7539.59,6753.62,37986.75,23.86,Moderate Risk
31,Female,Black African,High School,Healthcare,45,14220,4578.49,1459.71,2833.08,2674.95,3203.35,2672.67,14218.9,18.81,Low Risk
28,Male,Indian/Asian,Bachelor's,Retail,40,8879,3298.14,1322.9,1612.32,1487.53,1634.57,1728.17,9449.06,16.75,Low Risk
35,Female,Coloured,Diploma,IT,30,32784,12764.7,4525.86,5143.46,19649.58,4183.61,6222.21,48305.81,59.94,Critical Risk
28,Female,Black African,Master's,Healthcare,30,28201,9607.01,3456.78,5634.55,14069.42,4195.95,4248.98,37016.73,49.89,Critical Risk
32,Male,Black African,High School,Mining,40,26986,10039.87,3816.82,4916.07,4586.14,3328.85,5313.61,28672.51,16.99,Low Risk
30,Male,Black African,Diploma,Healthcare,40,14992,5230.76,1752.87,2990.35,8136.87,3599.16,2769.47,20880.32,54.27,Critical Risk
31,Female,Black African,Master's,Mining,40,24019,7513.78,2892.41,4230.04,6408.0,2740.07,3652.57,24696.81,26.68,Moderate Risk
31,Female,Black African,Bachelor's,Retail,40,7577,2660.89,1012.23,1155.49,710.83,780.03,1169.68,6709.12,9.38,Very Low Risk
33,Male,Black African,Bachelor's,Construction,40,6268,2047.82,915.84,1231.04,2365.08,1001.16,1033.07,7592.85,37.73,Critical Risk
34,Male,Indian/Asian,High School,Healthcare,30,8344,3061.6,1217.98,1621.46,2853.4,576.31,1648.92,10403.36,34.2,Critical Risk
24,Female,Black African,Bachelor's,Finance,20,39805,13729.53,4450.54,6940.38,12014.6,9031.74,6433.95,43568.99,30.18,High Risk
28,Female,Black African,High School,Education,30,20489,7534.17,2706.59,3428.7,3073.99,5064.19,3788.95,20532.41,15.0,Low Risk
22,Male,Black African,Diploma,Construction,40,10002,3481.95,1442.47,1574.29,4685.22,1197.04,1569.73,12753.66,46.84,Critical Risk
25,Female,Black African,Diploma,Mining,50,44609,16778.44,4692.45,8762.67,14958.44,3264.26,6883.66,52075.66,33.53,High Risk
34,Male,Black African,Diploma,Finance,40,19779,7906.16,2161.59,3483.34,9922.13,2086.57,3530.83,27004.04,50.16,Critical Risk
25,Female,Black African,Bachelor's,Mining,40,29709,11468.45,4138.82,5618.63,4622.91,3974.2,5146.51,30995.31,15.56,Low Risk
35,Male,Black African,Diploma,Construction,20,10021,3714.99,1283.83,1812.29,5879.18,2181.89,1925.85,14616.14,58.67,Critical Risk
26,Female,Black African,High School,Finance,50,12110,3930.12,1245.17,1887.43,5091.74,2949.27,2316.73,14471.19,42.05,High Risk
28,Female,Black African,Diploma,Retail,45,4951,1767.36,627.43,754.49,1579.81,960.2,986.97,5716.06,31.91,High Risk
28,Female,Black African,Diploma,Construction,40,9359,3400.51,1367.11,1580.82,4358.07,2213.35,1780.77,12487.27,46.57,Critical Risk
34,Female,Black African,High School,Construction,45,8251,3079.64,900.56,1240.74,3122.84,711.16,1610.33,9954.12,37.85,Critical Risk
32,Female,Black African,High School,Retail,40,4456,1423.09,460.85,715.45,1260.81,1050.8,796.92,4657.12,28.29,Moderate Risk
34,Female,Black African,High School,IT,40,35045,12325.0,5162.89,6863.79,16734.66,5808.97,6593.6,47679.94,47.75,Critical Risk
25,Male,Indian/Asian,Diploma,IT,40,23068,7987.19,2744.9,4128.76,5422.78,3224.84,4025.45,24309.08,23.51,Moderate Risk
34,Female,Black African,PhD,IT,40,34998,11418.82,4858.25,6464.79,2242.34,4926.65,5847.9,30832.1,6.41,Very Low Risk
28,Female,Black African,High School,Healthcare,45,8760,3100.14,1141.6,1655.4,4253.39,2107.56,1495.93,11646.44,48.55,Critical Risk
32,Female,Coloured,Diploma,Construction,30,5615,2194.93,614.08,1108.03,1205.46,691.12,907.53,6030.03,21.47,Moderate Risk
24,Male,Black African,Bachelor's,Mining,50,41615,15684.93,4581.11,6561.23,16031.62,3374.59,8034.72,50893.61,38.52,Critical Risk
27,Male,Black African,High School,Healthcare,50,18164,6462.54,2490.89,3247.43,9831.3,3058.45,3105.06,25137.22,54.13,Critical Risk
33,Male,Black African,Master's,IT,40,49771,18563.12,6556.07,8433.28,9593.09,3592.81,8336.21,51481.76,19.27,Low Risk
23,Female,Black African,High School,Mining,40,15659,5933.02,1577.57,2647.85,8481.4,3013.88,3093.1,21732.94,54.16,Critical Risk
31,Male,Indian/Asian,Bachelor's,Healthcare,40,17974,6691.64,2242.46,3307.9,2677.96,901.45,2814.76,17734.72,14.9,Very Low Risk
34,Female,Black African,High School,Retail,40,6392,2467.72,932.85,1023.71,1196.38,841.76,1095.03,6715.69,18.72,Low Risk
35,Female,Black African,High School,Mining,30,12368,4671.38,1566.1,2247.33,4426.47,2596.75,2451.43,15362.71,35.79,Critical Risk
30,Female,Black African,High School,Construction,45,6405,2451.68,649.46,1077.08,2199.65,844.22,1084.83,7462.69,34.34,High Risk
